label,class,image,dataset
4,parking_lot,00080.jpg,train
3,oil_gas_field,00081.jpg,train
7,ship,00082.jpg,train
6,runway_mark,00083.jpg,train
9,storage_tank,00084.jpg,train
9,storage_tank,00085.jpg,train
6,runway_mark,00086.jpg,train
3,oil_gas_field,00087.jpg,train
3,oil_gas_field,00088.jpg,train
6,runway_mark,00089.jpg,train
4,parking_lot,00090.jpg,train
6,runway_mark,00091.jpg,train
0,car,00092.jpg,train
0,car,00093.jpg,train
0,car,00094.jpg,train
5,plane,00095.jpg,train
6,runway_mark,00096.jpg,train
5,plane,00097.jpg,train
0,car,00098.jpg,train
6,runway_mark,00099.jpg,train
7,ship,00100.jpg,train
2,helicopter,00101.jpg,train
2,helicopter,00102.jpg,train
0,car,00103.jpg,train
5,plane,00104.jpg,train
1,harbor,00105.jpg,train
4,parking_lot,00106.jpg,train
4,parking_lot,00107.jpg,train
8,stadium,00108.jpg,train
2,helicopter,00109.jpg,train
2,helicopter,00110.jpg,train
8,stadium,00111.jpg,train
1,harbor,00112.jpg,train
2,helicopter,00113.jpg,train
9,storage_tank,00114.jpg,train
9,storage_tank,00115.jpg,train
9,storage_tank,00116.jpg,train
3,oil_gas_field,00117.jpg,train
6,runway_mark,00118.jpg,train
4,parking_lot,00119.jpg,train
5,plane,00120.jpg,train
9,storage_tank,00121.jpg,train
7,ship,00122.jpg,train
4,parking_lot,00123.jpg,train
0,car,00124.jpg,train
8,stadium,00125.jpg,train
0,car,00126.jpg,train
6,runway_mark,00127.jpg,train
3,oil_gas_field,00128.jpg,train
7,ship,00129.jpg,train
8,stadium,00130.jpg,train
9,storage_tank,00131.jpg,train
9,storage_tank,00132.jpg,train
6,runway_mark,00133.jpg,train
3,oil_gas_field,00134.jpg,train
3,oil_gas_field,00135.jpg,train
8,stadium,00136.jpg,train
6,runway_mark,00137.jpg,train
6,runway_mark,00138.jpg,train
5,plane,00139.jpg,train
7,ship,00140.jpg,train
4,parking_lot,00141.jpg,train
0,car,00142.jpg,train
9,storage_tank,00143.jpg,train
4,parking_lot,00144.jpg,train
8,stadium,00145.jpg,train
4,parking_lot,00146.jpg,train
7,ship,00147.jpg,train
2,helicopter,00148.jpg,train
7,ship,00149.jpg,train
0,car,00150.jpg,train
4,parking_lot,00151.jpg,train
3,oil_gas_field,00152.jpg,train
5,plane,00153.jpg,train
0,car,00154.jpg,train
0,car,00155.jpg,train
3,oil_gas_field,00156.jpg,train
5,plane,00157.jpg,train
7,ship,00158.jpg,train
6,runway_mark,00159.jpg,train
2,helicopter,00160.jpg,train
6,runway_mark,00161.jpg,train
0,car,00162.jpg,train
7,ship,00163.jpg,train
7,ship,00164.jpg,train
5,plane,00165.jpg,train
1,harbor,00166.jpg,train
9,storage_tank,00167.jpg,train
0,car,00168.jpg,train
0,car,00169.jpg,train
2,helicopter,00170.jpg,train
3,oil_gas_field,00171.jpg,train
6,runway_mark,00172.jpg,train
4,parking_lot,00173.jpg,train
1,harbor,00174.jpg,train
5,plane,00175.jpg,train
2,helicopter,00176.jpg,train
8,stadium,00177.jpg,train
9,storage_tank,00178.jpg,train
5,plane,00179.jpg,train
8,stadium,00180.jpg,train
5,plane,00181.jpg,train
1,harbor,00182.jpg,train
4,parking_lot,00183.jpg,train
8,stadium,00184.jpg,train
5,plane,00185.jpg,train
0,car,00186.jpg,train
9,storage_tank,00187.jpg,train
3,oil_gas_field,00188.jpg,train
5,plane,00189.jpg,train
6,runway_mark,00190.jpg,train
4,parking_lot,00191.jpg,train
5,plane,00192.jpg,train
5,plane,00193.jpg,train
1,harbor,00194.jpg,train
5,plane,00195.jpg,train
3,oil_gas_field,00196.jpg,train
0,car,00197.jpg,train
6,runway_mark,00198.jpg,train
7,ship,00199.jpg,train
0,car,00200.jpg,train
6,runway_mark,00201.jpg,train
3,oil_gas_field,00202.jpg,train
4,parking_lot,00203.jpg,train
9,storage_tank,00204.jpg,train
0,car,00205.jpg,train
1,harbor,00206.jpg,train
3,oil_gas_field,00207.jpg,train
4,parking_lot,00208.jpg,train
1,harbor,00209.jpg,train
7,ship,00210.jpg,train
9,storage_tank,00211.jpg,train
1,harbor,00212.jpg,train
6,runway_mark,00213.jpg,train
8,stadium,00214.jpg,train
7,ship,00215.jpg,train
6,runway_mark,00216.jpg,train
4,parking_lot,00217.jpg,train
3,oil_gas_field,00218.jpg,train
2,helicopter,00219.jpg,train
9,storage_tank,00220.jpg,train
5,plane,00221.jpg,train
2,helicopter,00222.jpg,train
1,harbor,00223.jpg,train
1,harbor,00224.jpg,train
1,harbor,00225.jpg,train
2,helicopter,00226.jpg,train
2,helicopter,00227.jpg,train
5,plane,00228.jpg,train
8,stadium,00229.jpg,train
1,harbor,00230.jpg,train
7,ship,00231.jpg,train
6,runway_mark,00232.jpg,train
1,harbor,00233.jpg,train
0,car,00234.jpg,train
1,harbor,00235.jpg,train
3,oil_gas_field,00236.jpg,train
0,car,00237.jpg,train
7,ship,00238.jpg,train
3,oil_gas_field,00239.jpg,train
0,car,00240.jpg,train
1,harbor,00241.jpg,train
6,runway_mark,00242.jpg,train
7,ship,00243.jpg,train
3,oil_gas_field,00244.jpg,train
1,harbor,00245.jpg,train
5,plane,00246.jpg,train
0,car,00247.jpg,train
6,runway_mark,00248.jpg,train
4,parking_lot,00249.jpg,train
1,harbor,00250.jpg,train
1,harbor,00251.jpg,train
1,harbor,00252.jpg,train
9,storage_tank,00253.jpg,train
0,car,00254.jpg,train
0,car,00255.jpg,train
4,parking_lot,00256.jpg,train
7,ship,00257.jpg,train
3,oil_gas_field,00258.jpg,train
5,plane,00259.jpg,train
4,parking_lot,00260.jpg,train
4,parking_lot,00261.jpg,train
0,car,00262.jpg,train
5,plane,00263.jpg,train
1,harbor,00264.jpg,train
1,harbor,00265.jpg,train
0,car,00266.jpg,train
8,stadium,00267.jpg,train
1,harbor,00268.jpg,train
3,oil_gas_field,00269.jpg,train
1,harbor,00270.jpg,train
4,parking_lot,00271.jpg,train
1,harbor,00272.jpg,train
3,oil_gas_field,00273.jpg,train
4,parking_lot,00274.jpg,train
3,oil_gas_field,00275.jpg,train
7,ship,00276.jpg,train
7,ship,00277.jpg,train
9,storage_tank,00278.jpg,train
4,parking_lot,00279.jpg,train
9,storage_tank,00280.jpg,train
3,oil_gas_field,00281.jpg,train
2,helicopter,00282.jpg,train
7,ship,00283.jpg,train
9,storage_tank,00284.jpg,train
8,stadium,00285.jpg,train
3,oil_gas_field,00286.jpg,train
4,parking_lot,00287.jpg,train
9,storage_tank,00288.jpg,train
2,helicopter,00289.jpg,train
3,oil_gas_field,00290.jpg,train
9,storage_tank,00291.jpg,train
7,ship,00292.jpg,train
9,storage_tank,00293.jpg,train
9,storage_tank,00294.jpg,train
5,plane,00295.jpg,train
6,runway_mark,00296.jpg,train
4,parking_lot,00297.jpg,train
4,parking_lot,00298.jpg,train
3,oil_gas_field,00299.jpg,train
9,storage_tank,00300.jpg,train
7,ship,00301.jpg,train
5,plane,00302.jpg,train
8,stadium,00303.jpg,train
8,stadium,00304.jpg,train
8,stadium,00305.jpg,train
3,oil_gas_field,00306.jpg,train
0,car,00307.jpg,train
5,plane,00308.jpg,train
5,plane,00309.jpg,train
2,helicopter,00310.jpg,train
3,oil_gas_field,00311.jpg,train
9,storage_tank,00312.jpg,train
5,plane,00313.jpg,train
6,runway_mark,00314.jpg,train
3,oil_gas_field,00315.jpg,train
1,harbor,00316.jpg,train
8,stadium,00317.jpg,train
7,ship,00318.jpg,train
5,plane,00319.jpg,train
1,harbor,00320.jpg,train
6,runway_mark,00321.jpg,train
8,stadium,00322.jpg,train
1,harbor,00323.jpg,train
8,stadium,00324.jpg,train
2,helicopter,00325.jpg,train
8,stadium,00326.jpg,train
1,harbor,00327.jpg,train
6,runway_mark,00328.jpg,train
6,runway_mark,00329.jpg,train
1,harbor,00330.jpg,train
8,stadium,00331.jpg,train
1,harbor,00332.jpg,train
0,car,00333.jpg,train
4,parking_lot,00334.jpg,train
3,oil_gas_field,00335.jpg,train
3,oil_gas_field,00336.jpg,train
1,harbor,00337.jpg,train
6,runway_mark,00338.jpg,train
0,car,00339.jpg,train
0,car,00340.jpg,train
0,car,00341.jpg,train
0,car,00342.jpg,train
1,harbor,00343.jpg,train
4,parking_lot,00344.jpg,train
7,ship,00345.jpg,train
6,runway_mark,00346.jpg,train
9,storage_tank,00347.jpg,train
8,stadium,00348.jpg,train
4,parking_lot,00349.jpg,train
7,ship,00350.jpg,train
0,car,00351.jpg,train
8,stadium,00352.jpg,train
9,storage_tank,00353.jpg,train
0,car,00354.jpg,train
9,storage_tank,00355.jpg,train
9,storage_tank,00356.jpg,train
3,oil_gas_field,00357.jpg,train
1,harbor,00358.jpg,train
5,plane,00359.jpg,train
3,oil_gas_field,00360.jpg,train
4,parking_lot,00361.jpg,train
8,stadium,00362.jpg,train
9,storage_tank,00363.jpg,train
6,runway_mark,00364.jpg,train
3,oil_gas_field,00365.jpg,train
8,stadium,00366.jpg,train
4,parking_lot,00367.jpg,train
1,harbor,00368.jpg,train
6,runway_mark,00369.jpg,train
3,oil_gas_field,00370.jpg,train
4,parking_lot,00371.jpg,train
0,car,00372.jpg,train
0,car,00373.jpg,train
3,oil_gas_field,00374.jpg,train
6,runway_mark,00375.jpg,train
7,ship,00376.jpg,train
1,harbor,00377.jpg,train
5,plane,00378.jpg,train
5,plane,00379.jpg,train
7,ship,00380.jpg,train
7,ship,00381.jpg,train
6,runway_mark,00382.jpg,train
1,harbor,00383.jpg,train
1,harbor,00384.jpg,train
3,oil_gas_field,00385.jpg,train
9,storage_tank,00386.jpg,train
7,ship,00387.jpg,train
7,ship,00388.jpg,train
2,helicopter,00389.jpg,train
7,ship,00390.jpg,train
8,stadium,00391.jpg,train
3,oil_gas_field,00392.jpg,train
1,harbor,00393.jpg,train
2,helicopter,00394.jpg,train
7,ship,00395.jpg,train
4,parking_lot,00396.jpg,train
7,ship,00397.jpg,train
0,car,00398.jpg,train
9,storage_tank,00399.jpg,train
8,stadium,00400.jpg,train
1,harbor,00401.jpg,train
0,car,00402.jpg,train
3,oil_gas_field,00403.jpg,train
2,helicopter,00404.jpg,train
1,harbor,00405.jpg,train
6,runway_mark,00406.jpg,train
5,plane,00407.jpg,train
9,storage_tank,00408.jpg,train
1,harbor,00409.jpg,train
5,plane,00410.jpg,train
5,plane,00411.jpg,train
4,parking_lot,00412.jpg,train
3,oil_gas_field,00413.jpg,train
8,stadium,00414.jpg,train
9,storage_tank,00415.jpg,train
5,plane,00416.jpg,train
7,ship,00417.jpg,train
1,harbor,00418.jpg,train
7,ship,00419.jpg,train
7,ship,00420.jpg,train
4,parking_lot,00421.jpg,train
4,parking_lot,00422.jpg,train
3,oil_gas_field,00423.jpg,train
8,stadium,00424.jpg,train
7,ship,00425.jpg,train
6,runway_mark,00426.jpg,train
3,oil_gas_field,00427.jpg,train
9,storage_tank,00428.jpg,train
7,ship,00429.jpg,train
9,storage_tank,00430.jpg,train
2,helicopter,00431.jpg,train
6,runway_mark,00432.jpg,train
0,car,00433.jpg,train
1,harbor,00434.jpg,train
3,oil_gas_field,00435.jpg,train
8,stadium,00436.jpg,train
2,helicopter,00437.jpg,train
5,plane,00438.jpg,train
0,car,00439.jpg,train
1,harbor,00440.jpg,train
6,runway_mark,00441.jpg,train
3,oil_gas_field,00442.jpg,train
1,harbor,00443.jpg,train
3,oil_gas_field,00444.jpg,train
0,car,00445.jpg,train
1,harbor,00446.jpg,train
5,plane,00447.jpg,train
3,oil_gas_field,00448.jpg,train
9,storage_tank,00449.jpg,train
4,parking_lot,00450.jpg,train
8,stadium,00451.jpg,train
3,oil_gas_field,00452.jpg,train
5,plane,00453.jpg,train
5,plane,00454.jpg,train
2,helicopter,00455.jpg,train
1,harbor,00456.jpg,train
5,plane,00457.jpg,train
6,runway_mark,00458.jpg,train
4,parking_lot,00459.jpg,train
3,oil_gas_field,00460.jpg,train
3,oil_gas_field,00461.jpg,train
5,plane,00462.jpg,train
8,stadium,00463.jpg,train
0,car,00464.jpg,train
6,runway_mark,00465.jpg,train
0,car,00466.jpg,train
5,plane,00467.jpg,train
1,harbor,00468.jpg,train
9,storage_tank,00469.jpg,train
4,parking_lot,00470.jpg,train
0,car,00471.jpg,train
8,stadium,00472.jpg,train
9,storage_tank,00473.jpg,train
2,helicopter,00474.jpg,train
1,harbor,00475.jpg,train
6,runway_mark,00476.jpg,train
5,plane,00477.jpg,train
4,parking_lot,00478.jpg,train
0,car,00479.jpg,train
2,helicopter,00480.jpg,train
3,oil_gas_field,00481.jpg,train
4,parking_lot,00482.jpg,train
5,plane,00483.jpg,train
8,stadium,00484.jpg,train
4,parking_lot,00485.jpg,train
3,oil_gas_field,00486.jpg,train
6,runway_mark,00487.jpg,train
1,harbor,00488.jpg,train
0,car,00489.jpg,train
4,parking_lot,00490.jpg,train
7,ship,00491.jpg,train
5,plane,00492.jpg,train
6,runway_mark,00493.jpg,train
7,ship,00494.jpg,train
9,storage_tank,00495.jpg,train
4,parking_lot,00496.jpg,train
6,runway_mark,00497.jpg,train
2,helicopter,00498.jpg,train
7,ship,00499.jpg,train
9,storage_tank,00500.jpg,train
4,parking_lot,00501.jpg,train
3,oil_gas_field,00502.jpg,train
9,storage_tank,00503.jpg,train
4,parking_lot,00504.jpg,train
7,ship,00505.jpg,train
0,car,00506.jpg,train
2,helicopter,00507.jpg,train
6,runway_mark,00508.jpg,train
2,helicopter,00509.jpg,train
8,stadium,00510.jpg,train
1,harbor,00511.jpg,train
5,plane,00512.jpg,train
2,helicopter,00513.jpg,train
1,harbor,00514.jpg,train
8,stadium,00515.jpg,train
0,car,00516.jpg,train
3,oil_gas_field,00517.jpg,train
9,storage_tank,00518.jpg,train
9,storage_tank,00519.jpg,train
5,plane,00520.jpg,train
4,parking_lot,00521.jpg,train
4,parking_lot,00522.jpg,train
3,oil_gas_field,00523.jpg,train
4,parking_lot,00524.jpg,train
2,helicopter,00525.jpg,train
5,plane,00526.jpg,train
2,helicopter,00527.jpg,train
7,ship,00528.jpg,train
4,parking_lot,00529.jpg,train
3,oil_gas_field,00530.jpg,train
6,runway_mark,00531.jpg,train
3,oil_gas_field,00532.jpg,train
3,oil_gas_field,00533.jpg,train
2,helicopter,00534.jpg,train
8,stadium,00535.jpg,train
6,runway_mark,00536.jpg,train
5,plane,00537.jpg,train
2,helicopter,00538.jpg,train
7,ship,00539.jpg,train
1,harbor,00540.jpg,train
2,helicopter,00541.jpg,train
0,car,00542.jpg,train
1,harbor,00543.jpg,train
2,helicopter,00544.jpg,train
8,stadium,00545.jpg,train
6,runway_mark,00546.jpg,train
0,car,00547.jpg,train
6,runway_mark,00548.jpg,train
1,harbor,00549.jpg,train
1,harbor,00550.jpg,train
9,storage_tank,00551.jpg,train
4,parking_lot,00552.jpg,train
1,harbor,00553.jpg,train
5,plane,00554.jpg,train
0,car,00555.jpg,train
5,plane,00556.jpg,train
1,harbor,00557.jpg,train
5,plane,00558.jpg,train
7,ship,00559.jpg,train
7,ship,00560.jpg,train
7,ship,00561.jpg,train
8,stadium,00562.jpg,train
0,car,00563.jpg,train
2,helicopter,00564.jpg,train
3,oil_gas_field,00565.jpg,train
2,helicopter,00566.jpg,train
8,stadium,00567.jpg,train
4,parking_lot,00568.jpg,train
4,parking_lot,00569.jpg,train
7,ship,00570.jpg,train
6,runway_mark,00571.jpg,train
4,parking_lot,00572.jpg,train
1,harbor,00573.jpg,train
1,harbor,00574.jpg,train
9,storage_tank,00575.jpg,train
3,oil_gas_field,00576.jpg,train
6,runway_mark,00577.jpg,train
7,ship,00578.jpg,train
1,harbor,00579.jpg,train
9,storage_tank,00580.jpg,train
1,harbor,00581.jpg,train
4,parking_lot,00582.jpg,train
4,parking_lot,00583.jpg,train
4,parking_lot,00584.jpg,train
4,parking_lot,00585.jpg,train
5,plane,00586.jpg,train
3,oil_gas_field,00587.jpg,train
6,runway_mark,00588.jpg,train
5,plane,00589.jpg,train
1,harbor,00590.jpg,train
4,parking_lot,00591.jpg,train
1,harbor,00592.jpg,train
4,parking_lot,00593.jpg,train
7,ship,00594.jpg,train
9,storage_tank,00595.jpg,train
0,car,00596.jpg,train
5,plane,00597.jpg,train
1,harbor,00598.jpg,train
6,runway_mark,00599.jpg,train
1,harbor,00600.jpg,train
4,parking_lot,00601.jpg,train
1,harbor,00602.jpg,train
3,oil_gas_field,00603.jpg,train
8,stadium,00604.jpg,train
4,parking_lot,00605.jpg,train
1,harbor,00606.jpg,train
1,harbor,00607.jpg,train
3,oil_gas_field,00608.jpg,train
1,harbor,00609.jpg,train
4,parking_lot,00610.jpg,train
5,plane,00611.jpg,train
2,helicopter,00612.jpg,train
8,stadium,00613.jpg,train
1,harbor,00614.jpg,train
9,storage_tank,00615.jpg,train
7,ship,00616.jpg,train
3,oil_gas_field,00617.jpg,train
2,helicopter,00618.jpg,train
3,oil_gas_field,00619.jpg,train
3,oil_gas_field,00620.jpg,train
3,oil_gas_field,00621.jpg,train
9,storage_tank,00622.jpg,train
5,plane,00623.jpg,train
8,stadium,00624.jpg,train
1,harbor,00625.jpg,train
1,harbor,00626.jpg,train
0,car,00627.jpg,train
1,harbor,00628.jpg,train
9,storage_tank,00629.jpg,train
7,ship,00630.jpg,train
1,harbor,00631.jpg,train
4,parking_lot,00632.jpg,train
4,parking_lot,00633.jpg,train
2,helicopter,00634.jpg,train
5,plane,00635.jpg,train
4,parking_lot,00636.jpg,train
3,oil_gas_field,00637.jpg,train
6,runway_mark,00638.jpg,train
3,oil_gas_field,00639.jpg,train
7,ship,00640.jpg,train
7,ship,00641.jpg,train
5,plane,00642.jpg,train
2,helicopter,00643.jpg,train
4,parking_lot,00644.jpg,train
3,oil_gas_field,00645.jpg,train
2,helicopter,00646.jpg,train
3,oil_gas_field,00647.jpg,train
5,plane,00648.jpg,train
1,harbor,00649.jpg,train
5,plane,00650.jpg,train
2,helicopter,00651.jpg,train
9,storage_tank,00652.jpg,train
7,ship,00653.jpg,train
4,parking_lot,00654.jpg,train
4,parking_lot,00655.jpg,train
8,stadium,00656.jpg,train
1,harbor,00657.jpg,train
9,storage_tank,00658.jpg,train
9,storage_tank,00659.jpg,train
4,parking_lot,00660.jpg,train
8,stadium,00661.jpg,train
6,runway_mark,00662.jpg,train
9,storage_tank,00663.jpg,train
3,oil_gas_field,00664.jpg,train
3,oil_gas_field,00665.jpg,train
6,runway_mark,00666.jpg,train
5,plane,00667.jpg,train
4,parking_lot,00668.jpg,train
4,parking_lot,00669.jpg,train
1,harbor,00670.jpg,train
6,runway_mark,00671.jpg,train
9,storage_tank,00672.jpg,train
7,ship,00673.jpg,train
9,storage_tank,00674.jpg,train
4,parking_lot,00675.jpg,train
0,car,00676.jpg,train
4,parking_lot,00677.jpg,train
2,helicopter,00678.jpg,train
6,runway_mark,00679.jpg,train
5,plane,00680.jpg,train
7,ship,00681.jpg,train
0,car,00682.jpg,train
4,parking_lot,00683.jpg,train
7,ship,00684.jpg,train
8,stadium,00685.jpg,train
7,ship,00686.jpg,train
9,storage_tank,00687.jpg,train
8,stadium,00688.jpg,train
9,storage_tank,00689.jpg,train
7,ship,00690.jpg,train
0,car,00691.jpg,train
9,storage_tank,00692.jpg,train
1,harbor,00693.jpg,train
3,oil_gas_field,00694.jpg,train
4,parking_lot,00695.jpg,train
1,harbor,00696.jpg,train
4,parking_lot,00697.jpg,train
7,ship,00698.jpg,train
4,parking_lot,00699.jpg,train
9,storage_tank,00700.jpg,train
0,car,00701.jpg,train
5,plane,00702.jpg,train
5,plane,00703.jpg,train
8,stadium,00704.jpg,train
1,harbor,00705.jpg,train
5,plane,00706.jpg,train
6,runway_mark,00707.jpg,train
0,car,00708.jpg,train
8,stadium,00709.jpg,train
8,stadium,00710.jpg,train
9,storage_tank,00711.jpg,train
8,stadium,00712.jpg,train
5,plane,00713.jpg,train
0,car,00714.jpg,train
1,harbor,00715.jpg,train
4,parking_lot,00716.jpg,train
0,car,00717.jpg,train
6,runway_mark,00718.jpg,train
2,helicopter,00719.jpg,train
4,parking_lot,00720.jpg,train
7,ship,00721.jpg,train
9,storage_tank,00722.jpg,train
2,helicopter,00723.jpg,train
5,plane,00724.jpg,train
1,harbor,00725.jpg,train
8,stadium,00726.jpg,train
7,ship,00727.jpg,train
6,runway_mark,00728.jpg,train
2,helicopter,00729.jpg,train
7,ship,00730.jpg,train
9,storage_tank,00731.jpg,train
7,ship,00732.jpg,train
5,plane,00733.jpg,train
8,stadium,00734.jpg,train
2,helicopter,00735.jpg,train
0,car,00736.jpg,train
4,parking_lot,00737.jpg,train
6,runway_mark,00738.jpg,train
3,oil_gas_field,00739.jpg,train
3,oil_gas_field,00740.jpg,train
5,plane,00741.jpg,train
3,oil_gas_field,00742.jpg,train
5,plane,00743.jpg,train
8,stadium,00744.jpg,train
3,oil_gas_field,00745.jpg,train
4,parking_lot,00746.jpg,train
6,runway_mark,00747.jpg,train
1,harbor,00748.jpg,train
8,stadium,00749.jpg,train
0,car,00750.jpg,train
0,car,00751.jpg,train
9,storage_tank,00752.jpg,train
1,harbor,00753.jpg,train
6,runway_mark,00754.jpg,train
9,storage_tank,00755.jpg,train
0,car,00756.jpg,train
7,ship,00757.jpg,train
5,plane,00758.jpg,train
6,runway_mark,00759.jpg,train
1,harbor,00760.jpg,train
1,harbor,00761.jpg,train
1,harbor,00762.jpg,train
4,parking_lot,00763.jpg,train
8,stadium,00764.jpg,train
0,car,00765.jpg,train
5,plane,00766.jpg,train
4,parking_lot,00767.jpg,train
7,ship,00768.jpg,train
4,parking_lot,00769.jpg,train
2,helicopter,00770.jpg,train
9,storage_tank,00771.jpg,train
7,ship,00772.jpg,train
7,ship,00773.jpg,train
7,ship,00774.jpg,train
0,car,00775.jpg,train
1,harbor,00776.jpg,train
9,storage_tank,00777.jpg,train
8,stadium,00778.jpg,train
1,harbor,00779.jpg,train
2,helicopter,00780.jpg,train
2,helicopter,00781.jpg,train
8,stadium,00782.jpg,train
2,helicopter,00783.jpg,train
2,helicopter,00784.jpg,train
4,parking_lot,00785.jpg,train
5,plane,00786.jpg,train
6,runway_mark,00787.jpg,train
7,ship,00788.jpg,train
5,plane,00789.jpg,train
3,oil_gas_field,00790.jpg,train
8,stadium,00791.jpg,train
0,car,00792.jpg,train
8,stadium,00793.jpg,train
3,oil_gas_field,00794.jpg,train
0,car,00795.jpg,train
9,storage_tank,00796.jpg,train
3,oil_gas_field,00797.jpg,train
0,car,00798.jpg,train
9,storage_tank,00799.jpg,train
8,stadium,00800.jpg,train
3,oil_gas_field,00801.jpg,train
9,storage_tank,00802.jpg,train
3,oil_gas_field,00803.jpg,train
3,oil_gas_field,00804.jpg,train
7,ship,00805.jpg,train
9,storage_tank,00806.jpg,train
6,runway_mark,00807.jpg,train
5,plane,00808.jpg,train
6,runway_mark,00809.jpg,train
3,oil_gas_field,00810.jpg,train
8,stadium,00811.jpg,train
5,plane,00812.jpg,train
4,parking_lot,00813.jpg,train
8,stadium,00814.jpg,train
8,stadium,00815.jpg,train
0,car,00816.jpg,train
6,runway_mark,00817.jpg,train
4,parking_lot,00818.jpg,train
5,plane,00819.jpg,train
0,car,00820.jpg,train
9,storage_tank,00821.jpg,train
7,ship,00822.jpg,train
1,harbor,00823.jpg,train
6,runway_mark,00824.jpg,train
8,stadium,00825.jpg,train
0,car,00826.jpg,train
5,plane,00827.jpg,train
4,parking_lot,00828.jpg,train
9,storage_tank,00829.jpg,train
4,parking_lot,00830.jpg,train
5,plane,00831.jpg,train
4,parking_lot,00832.jpg,train
9,storage_tank,00833.jpg,train
5,plane,00834.jpg,train
8,stadium,00835.jpg,train
3,oil_gas_field,00836.jpg,train
1,harbor,00837.jpg,train
8,stadium,00838.jpg,train
8,stadium,00839.jpg,train
7,ship,00840.jpg,train
2,helicopter,00841.jpg,train
4,parking_lot,00842.jpg,train
7,ship,00843.jpg,train
9,storage_tank,00844.jpg,train
8,stadium,00845.jpg,train
8,stadium,00846.jpg,train
9,storage_tank,00847.jpg,train
7,ship,00848.jpg,train
9,storage_tank,00849.jpg,train
8,stadium,00850.jpg,train
9,storage_tank,00851.jpg,train
7,ship,00852.jpg,train
1,harbor,00853.jpg,train
4,parking_lot,00854.jpg,train
7,ship,00855.jpg,train
4,parking_lot,00856.jpg,train
2,helicopter,00857.jpg,train
6,runway_mark,00858.jpg,train
6,runway_mark,00859.jpg,train
7,ship,00860.jpg,train
8,stadium,00861.jpg,train
3,oil_gas_field,00862.jpg,train
9,storage_tank,00863.jpg,train
0,car,00864.jpg,train
0,car,00865.jpg,train
9,storage_tank,00866.jpg,train
8,stadium,00867.jpg,train
0,car,00868.jpg,train
2,helicopter,00869.jpg,train
5,plane,00870.jpg,train
3,oil_gas_field,00871.jpg,train
2,helicopter,00872.jpg,train
7,ship,00873.jpg,train
2,helicopter,00874.jpg,train
6,runway_mark,00875.jpg,train
9,storage_tank,00876.jpg,train
4,parking_lot,00877.jpg,train
0,car,00878.jpg,train
3,oil_gas_field,00879.jpg,train
5,plane,00880.jpg,train
8,stadium,00881.jpg,train
3,oil_gas_field,00882.jpg,train
0,car,00883.jpg,train
1,harbor,00884.jpg,train
6,runway_mark,00885.jpg,train
5,plane,00886.jpg,train
8,stadium,00887.jpg,train
4,parking_lot,00888.jpg,train
1,harbor,00889.jpg,train
5,plane,00890.jpg,train
